source_filename,Source File Name,Agreement Title,Agreement Classification,Party 1 Name,Party 1 Role,Party 2 Name,Party 2 Role,Services,Agreement Flag,Captions Flag,Clause Captions,Schedules/Exhibits/Annexes
19561636577760_FP MSA - Executed.pdf,image,MASTER SERVICES AGREEMENT (MSA),Master Service Agreement,"Comcast Cable Communications Management, LLC",Provider,"Francisco Partners Management, LP",Customer,communications and other services,True,False,"['Agreement Overview', 'Sales Orders', 'General Terms', 'Commercial Customers', 'CUSTOMER SIGNATURE', 'COMCAST USE ONLY']",[]
19561637100977_Travelzoo MSA-SV-signed.pdf,NA,MASTER SERVICES AGREEMENT (MSA),Master Service Agreement,"Comcast Cable Communications Management, LLC",Provider,Travelzoo,Customer,Communications and other services,True,False,"['Agreement Overview', 'Sales Orders', 'Termination', 'General Terms and Conditions', 'Customer Agreement']","['Product-Specific Attachment', 'Sales Orders']"
19561637100997_Travelzoo MSA-SV First Amendment.pdf,image.png,Comcast Enterprise Services Master Services Agreement No. CA-25355844-pweck,Master Services Agreement,"Comcast Cable Communications Management, LLC",Provider,"Travelzoo, Inc.",Customer,Enterprise Services,True,True,"['Article 4.1 of the Comcast Enterprise Services General Terms and Conditions', 'Explicit Conflict', 'Other Terms']",[]
19561639593876_ACC DIA LandCare Contract Ft. Worth Signed copy.pdf,ACC Price Schedule 160.png,ACC DIA LandCare Contract,Telecommunications Service Agreement,AT&T Corp. d/b/a ACC Business,Provider,LandCare,Customer,Dedicated Internet Service,True,True,"['ACC BUSINESS REPRESENTATION', 'ACCOUNT INFORMATION', 'REQUIRED FOR ALL: Legal Company Name', 'ADI SERVICE LOCATION INFORMATION FOR SINGLE LOCATION', 'ACCOUNT DETAIL INFORMATION', 'BILLING OPTIONS', 'ORDER TYPE', 'PRICING SCHEDULE TERM AND PROMOTIONS', 'SERVICE CHARGES & RATE PLANS', 'OPTIONAL SERVICES & CHARGES - SINGLE LOCATION', 'TOTAL ALL CHARGES', 'MINIMUM PAYMENT AND MINIMUM RETENTION PERIOD', 'TERMINATION', 'TAX EXEMPT INFORMATION', ""SIGNATURE BELOW BY YOUR AUTHORIZED REPRESENTATIVE IS CUSTOMER'S CONSENT TO THE TERMS AND CONDITIONS OF THIS PRICING SCHEDULE"", 'Services', 'Execution by Affiliates', 'License and Other Terms', 'Pricing and Pricing Schedule Term; Terms Applicable After End of Pricing Schedule Term', 'MARC', 'Termination and Termination Charges', 'Billing and Disputes', 'Purchased Equipment', 'Privacy', 'Trademarks and Publicity', 'Governing Law', 'SOLUTION PROVIDER ORDER CONTACT', 'CUSTOMER CONTACTS', 'Ship to Contact"" for managed AT&T routers with ADI - if different than the Local Contacts']",[]
19561642540924_Nitel MSA v6 20180404_Enterprise MTM_FINAL 1.14.2022[1].pdf,Nitel Master Service Agreement.pdf,Master Service Agreement,Master Service Agreement,NITEL INC.,Provider,"Concentra Health Services, Inc.",Customer,communications services,True,True,"['Service Orders & Term', 'Service Installation and Acceptance', 'Service Cancellation', 'Service Disconnection', 'Credit Review & Deposits', 'Invoices and Disputes', 'Taxes and Fees', 'Regulatory Activity', 'Use of Service', 'Service Interruptions', 'Service Level Agreements', 'Termination', 'Termination Liability', 'Indemnification and Limitations on Liability', 'Force Majeure', 'Assignment', 'Warranties', 'Confidentiality', 'Notices', 'Miscellaneous']",[]
19561644594670_19561642540924_Nitel MSA v6 20180404_Enterprise MTM_FINAL 1.14.2022[1].pdf,Nitel Master Service Agreement.pdf,Master Service Agreement,Master Service Agreement,NITEL INC.,Provider,"Concentra Health Services, Inc.",Customer,communications services,True,True,"['Service Orders & Term', 'Service Installation and Acceptance', 'Service Cancellation', 'Service Disconnection', 'Credit Review & Deposits', 'Invoices and Disputes', 'Taxes and Fees', 'Regulatory Activity', 'Use of Service', 'Service Interruptions', 'Service Level Agreements', 'Termination', 'Termination Liability', 'Indemnification and Limitations on Liability', 'Force Majeure', 'Assignment', 'Warranties', 'Confidentiality', 'Notices', 'Miscellaneous']",[]
19561645737094_Nitel MSA_partially executed 02132022.pdf,02-14-2022 Nitel MSA.pdf,Master Service Agreement,Master Service Agreement,NITEL INC.,provider,SELECT MEDICAL CORPORATION,Customer,communications services,True,True,"['Service Orders & Term', 'Service Installation and Acceptance', 'Service Cancellation', 'Service Disconnection', 'Credit Review & Deposits', 'Invoices and Disputes', 'Taxes and Fees', 'Regulatory Activity', 'Use of Service', 'Service Interruptions', 'Service Level Agreements', 'Termination', 'Termination Liability', 'Indemnification and Limitations on Liability', 'Force Majeure', 'Assignment', 'Warranties', 'Confidentiality', 'Notices', 'Miscellaneous']",[]
19561656621775_Verizon Master Sales Order Form.pdf,U.S. Services Agreement.pdf,U.S. Services Agreement,Master Service Agreement,Verizon Business Network Services LLC,Provider,"TREX COMPANY, INC",Customer,Network Services,True,True,"['MASTER TERMS', 'Parties', 'SERVICE TERMS', 'SERVICES PROMOTIONS', 'Service Charges', 'Promotions Related to Service Charges', 'Service Charges', 'Promotions Related to Service Charges', 'Appendix', 'To Service Order Details']",['Appendix To Service Order Details']
19561656624470_TREX Comcast MSA.pdf,069376DA-E6C3-4E55-B13D-9DC0010802CA.png,COMCAST ENTERPRISE SERVICES MASTER SERVICES AGREEMENT (MSA),Master Services Agreement,"Comcast Cable Communications Management, LLC",provider,Trex Company Inc.,customer,communications and other services,True,False,"['Customer Information', 'Agreement Overview', 'Sales Orders', 'Termination', 'Terms and Conditions', 'Services Availability', 'Agreement to Terms']",[]
19561668624865_ACCB_AIA_ Countersigned SELECT MEDICAL CORPORATION CONTRACT.pdf,ACC PS 401.pdf,AT&T Internet Access as sold by ACC Business PRICING SCHEDULE,Pricing Schedule,AT&T Corp. d/b/a ACC Business,Provider,Select Medical Corporation,Customer,AT&T Internet Access,True,True,"['SERVICES', 'PRICING SCHEDULE TERM AND EFFECTIVE DATES', 'MINIMUM PAYMENT PERIOD', 'ADDITIONAL TERMS AND CONDITIONS', 'Notice of Withdrawal', 'RATES AND CHARGES']",[]
19561668633832_Concentra Health Services MSA.pdf,contract.pdf,COMCAST ENTERPRISE SERVICES MASTER SERVICES AGREEMENT (MSA),Master Services Agreement,"Comcast Cable Communications Management, LLC",Provider,Concentra Health Services,Customer,Communications and other services,True,False,"['Agreement Overview', 'Sales Orders', 'Termination', 'General Terms and Conditions']","['Product-Specific Attachment', 'Sales Orders']"
19561668634786_Select Medical Concentra - Spectrum Service Agmt. Fiber Renewal Partiall....pdf,Spectrum Enterprise Service Agreement.pdf,Spectrum Enterprise Service Agreement,Service Agreement,"Charter Communications Operating, LLC",Provider,Select Medical Corporation,Customer,"Fiber Internet Access, Ethernet Services, Voice Services",True,False,"['Spectrum Contact Information', 'Customer Information', 'Acknowledgement', 'SUMMARY OF FIBER INTERNET ACCESS SERVICES', 'SUMMARY OF ETHERNET SERVICES - EPL', 'SUMMARY OF ETHERNET SERVICES - EVPL', 'SUMMARY OF ETHERNET SERVICES - EPLAN', 'SUMMARY OF VOICE SERVICES', 'Additional Information for Business Phone', 'Additional Information for Business Toll Free', 'SUMMARY OF BUSINESS INTERNET ACCESS', 'SUMMARY OF SPECTRUM BUSINESS TV & ENTERPRISE TV SERVICES', 'Additional Services', 'TOTAL FEES', 'TAXES', 'NO UNTRUE STATEMENTS', 'SPECIAL TERMS']",['Exhibit A']
19561668635001_Select Medical MSA-SIGNED.pdf,contract.pdf,COMCAST ENTERPRISE SERVICES MASTER SERVICES AGREEMENT (MSA),Master Services Agreement,"Comcast Cable Communications Management, LLC",Provider,Select Medical Corporation,Customer,communications and other services,True,False,"['Customer Information', 'Primary Contact Address Information', 'Agreement Overview', 'Sales Orders', 'Termination', 'Website Information', 'Service Availability', 'Customer Signature', 'Comcast Use Only']","['Product-Specific Attachment', 'Sales Orders']"
19561668635089_Select Medical Concentra - Spectrum Service Agmt. Fiber Renewal Partiall....pdf,07232023_0951.pdf,Spectrum Enterprise Service Agreement,Service Agreement,"Charter Communications Operating, LLC",Provider,Select Medical Corporation,Customer,"Fiber Internet Access, Ethernet Services, Voice Services",True,True,"['Spectrum Contact Information', 'Customer Information', 'Fiber Internet Access', 'Ethernet Service', 'Voice Service', 'Additional Information for Business Phone', 'Additional Information for Business Toll Free', 'Additional Services', 'TOTAL FEES', 'TAXES', 'NO UNTRUE STATEMENTS', 'SPECIAL TERMS']",['Exhibit A']
19561668722110_ACCB_AIA_ACS_Multi Service Agreement_partially executed 09192022.pdf,ACCB_AIA_ACS_Multi Service Agreement_BSW Terrell,ACC BUSINESS MULTI-SERVICE AGREEMENT,Multi-Service Agreement,AT&T Corp. d/b/a ACC Business,Provider,Select Medical Corporation,Customer,Business Services,True,True,"['Services', 'Execution by Affiliates', 'License and Other Terms', 'Pricing and Pricing Schedule Term; Terms Applicable After End of Pricing Schedule Term', 'MARC', 'Termination and Termination Charges', 'Billing and Disputes', 'Purchased Equipment', 'Privacy', 'Trademarks and Publicity', 'Governing Law']","['Pricing Schedule', 'Service Publication']"
19561668722178_ACCB_AIA_ACS_Multi Service Agreement_partially executed 09192022.pdf,ACCB_AIA_ACS_Multi Service Agreement_BSW Terrell,ACC BUSINESS MULTI-SERVICE AGREEMENT,Multi-Service Agreement,AT&T Corp. d/b/a ACC Business,Provider,Select Medical Corporation,Customer,Business Services,True,True,"['Services', 'Execution by Affiliates', 'License and Other Terms', 'Pricing and Pricing Schedule Term; Terms Applicable After End of Pricing Schedule Term', 'MARC', 'Termination and Termination Charges', 'Billing and Disputes', 'Purchased Equipment', 'Privacy', 'Trademarks and Publicity', 'Governing Law']","['Pricing Schedule', 'Service Publication']"
19561668794458_ACCB_AIA_ACS_Multi Service Agreement_partially executed 09192022.pdf,ACCB_AIA_ACS_Multi Service Agreement_BSW Terrell,ACC BUSINESS MULTI-SERVICE AGREEMENT,Multi-Service Agreement,AT&T Corp. d/b/a ACC Business,Provider,Select Medical Corporation,Customer,Business Services,True,True,"['Services', 'Execution by Affiliates', 'License and Other Terms', 'Pricing and Pricing Schedule Term; Terms Applicable After End of Pricing Schedule Term', 'MARC', 'Termination and Termination Charges', 'Billing and Disputes', 'Purchased Equipment', 'Privacy', 'Trademarks and Publicity', 'Governing Law']","['Pricing Schedule', 'Service Publication']"
19561670521853_ACCB_AIA_E_contract_PS401 (6) Acorn Health.pdf,ACC PS 401.pdf,PRICING SCHEDULE,Pricing Schedule,AT&T Corp. d/b/a ACC Business,Provider,Acorn Health,Customer,AT&T Internet Access,True,True,"['SERVICES', 'PRICING SCHEDULE TERM AND EFFECTIVE DATES', 'MINIMUM PAYMENT PERIOD', 'ADDITIONAL TERMS AND CONDITIONS', 'Notice of Withdrawal', 'RATES AND CHARGES']",[]
19561670528167_Nitel MSA v6 20180404_Enterprise MTM_FINAL.docx.pdf,DocuSign Envelope ID- C19AFA23-82D1-4BA5-94F9-7A664CFEBFBB,Master Service Agreement,Master Service Agreement,NITEL INC.,provider,"Autism Living Experience, LLC",Customer,communications services,True,True,"['Service Orders & Term', 'Service Installation and Acceptance', 'Service Cancellation', 'Service Disconnection', 'Credit Review & Deposits', 'Invoices and Disputes', 'Taxes and Fees', 'Regulatory Activity', 'Use of Service', 'Service Interruptions', 'Service Level Agreements', 'Termination', 'Termination Liability', 'Indemnification and Limitations on Liability', 'Force Majeure', 'Assignment', 'Warranties', 'Confidentiality', 'Notices', 'Miscellaneous']",[]
19561674141431_Pull A Part LLC- 36mo (3) EDI 100M - MR (jun med) Configurator 3 SITES with MR - 011723 - 23315717 M.pdf,Comcast Contract.png,MASTER SERVICES AGREEMENT (MSA),Master Service Agreement,"Comcast Cable Communications Management, LLC",provider,Pull A Part LLC,customer,communications and other services,True,False,"['Agreement Overview', 'Sales Orders', 'Termination', 'Service Availability', 'Agreement Terms']",[]
19561674141947_Pull A Part LLC- 36mo (3) EDI 100M - MR (jun med) Configurator 3 SITES with MR - 011723 - 23315717 M.pdf,Comcast Contract.png,MASTER SERVICES AGREEMENT (MSA),Master Services Agreement,"Comcast Cable Communications Management, LLC",provider,Pull A Part LLC,customer,communications and other services,True,False,"['Agreement Overview', 'Sales Orders', 'Termination', 'Service Availability', 'Agreement Terms']",[]
19561679343712_MODERN ANIMAL MSA.pdf,ACC Business MSA UA III 09012015.pdf,ACC BUSINESS MULTI-SERVICE AGREEMENT,Multi-Service Agreement,AT&T Corp. d/b/a ACC Business,Provider,Modern Animal,Customer,Business Services,True,True,"['Customer', 'Customer Contact (for notices)', 'ACC Business Contact (for notices)', 'ARBITRATION', 'Services', 'Execution by Affiliates', 'License and Other Terms', 'Pricing and Pricing Schedule Term; Terms Applicable After End of Pricing Schedule Term', 'MARC', 'Termination and Termination Charges', 'Billing and Disputes', 'Purchased Equipment', 'Privacy', 'Trademarks and Publicity', 'Governing Law']",[]
19561681742187_Valor-Ten4 Standard MSA 123020.pdf,3D05149F-5D12-4EF3-9B76-929C2ABB3DCE.pdf,MASTER SERVICES AGREEMENT,Master Services Agreement,"Distributed Computing, Inc. dba Ten4",Provider,"Valor Healthcare, Inc.",Customer,Services specified in each Addendum and SOF,True,True,"['Term of Agreement', 'Services', 'Charges and Payments', 'Access', 'Security & Usage', 'Late Charges', 'Warranty Exclusion', 'Limitation of Liability', 'Indemnification', 'Default', 'Termination', 'Confidentiality', 'Other Terms', 'Acceptable Use Policy', 'Force Majeure', 'Subcontracting', 'Assignment', 'Publicity', 'Conflict Between Agreements', 'Governing Law', 'Notification', 'Entire Agreement', 'Acceptance']",[]
19561681743063_Valor-Ten4 Standard MSA 123020.pdf,DocuSign Envelope ID 3D05149F-5D12-4EF3-9B76-929C2ABB3DCE.pdf,MASTER SERVICES AGREEMENT,Master Services Agreement,"Distributed Computing, Inc. dba Ten4",Provider,"Valor Healthcare, Inc.",Customer,Services specified in each Addendum and SOF,True,True,"['Term of Agreement', 'Services', 'Charges and Payments', 'Access', 'Security & Usage', 'Late Charges', 'Warranty Exclusion', 'Limitation of Liability', 'Indemnification', 'Default', 'Termination', 'Confidentiality', 'Other Terms', 'Acceptable Use Policy', 'Force Majeure', 'Subcontracting', 'Assignment', 'Publicity', 'Conflict Between Agreements', 'Governing Law', 'Notification', 'Entire Agreement', 'Acceptance']",[]
19561681743237_Valor-Ten4 Standard MSA 123020.pdf,DocuSign Envelope ID 3D05149F-5D12-4EF3-9B76-929C2ABB3DCE.pdf,MASTER SERVICES AGREEMENT,Master Services Agreement,"Distributed Computing, Inc. dba Ten4",Provider,"Valor Healthcare, Inc.",Customer,Services specified in each Addendum and SOF,True,True,"['Term of Agreement', 'Services', 'Charges and Payments', 'Access', 'Security & Usage', 'Late Charges', 'Warranty Exclusion', 'Limitation of Liability', 'Indemnification', 'Default', 'Termination', 'Confidentiality', 'Other Terms', 'Acceptable Use Policy', 'Force Majeure', 'Subcontracting', 'Assignment', 'Publicity', 'Conflict Between Agreements', 'Governing Law', 'Notification', 'Entire Agreement', 'Acceptance']",[]
19561687976725_amended_FSA_Southeastern_Paper_Group_26May2023_(003).pdf,Frontier Services Agreement.pdf,Frontier Services Agreement,Services,"Frontier Communications of America, Inc.",Provider,Southeastern Paper Group,Customer,"communications, installation and maintenance services, and/or purchase or lease equipment",True,True,"['Provision of Services and Equipment', 'Term', 'Payment', 'Cancellation and Early Termination Charges', 'Limitation of Liability and Warranty Provisions', 'Indemnification', 'Confidentiality', 'Breach', 'Force Majeure', 'Assignment', 'Work Site Conditions', 'Title and Risk of Loss', 'Competition', 'Government Regulation', 'Governing Law', 'No Waiver', 'Severability', 'Notice', 'Independent Relationship', 'Dispute Resolution', 'Authorization and Entire Agreement']",['Schedules']
19561687976725_Southeastern_Paper_Group_Ethernet_Schedule_-_2023-05-25T140744.012.pdf,DocuSign Envelope ID: A2D01AB6-595E-46D8-A58F-096002450A9B,"Ethernet Virtual Private Line (EVPL)
Dedicated Internet Access (DIA)",Services Agreement,"Frontier Communications of America, Inc.",Provider,Southeastern Paper Group,Customer,Ethernet Virtual Private Line (EVPL) Dedicated Internet Access (DIA),True,True,"['Service Description', 'Pre-installation cancellation fees, FOC Notice and Special Construction', 'Pre-installation cancellation fees', 'Special Construction', 'Obligations of Customer', 'After Hours/Holiday Labor Hours', 'Internet Acceptable Use Policy and Security', 'Producer Price Index Adjustment', 'Service Level Agreement', 'Operational Objectives', 'On Time Provisioning', 'Circuit Availability', 'Mean Time to Repair (MTTR)', 'Service Outage Reporting Procedure', 'Credit Request and Eligibility', 'Chronic Outage']",['EXHIBIT 1\nEVPL AND DIA SERVICE LEVEL AGREEMENT']
19561688001471_SEPG_-_Jacksonville__Ethernet_Configurator_23785584__MSA.pdf,image.png,COMCAST ENTERPRISE SERVICES MASTER SERVICES AGREEMENT (MSA),Master Services Agreement,"Comcast Cable Communications Management, LLC",provider,Southeastern Paper Group,customer,communications and other services,True,False,"['Agreement Overview', 'Sales Orders', 'General Terms', 'Service Availability', 'Agreement to Terms']",[]
19561688057706_AOF TECH FORM (TSF) Updated 12.7.22.pdf,Frontier Communications Contract.pdf,TECHNICAL SELECTIONS FORM,Technical Selections Form,Frontier Communications,Provider,Cavender Auto Country CBG,Customer,"Circuit Hand Off/IP Topology, SIP Order",False,True,"['DIA Order – With a Frontier Router – Hand off/IP Topology is fixed as shown', 'DIA Order 5M to 1G - Without a Frontier Router - Please Make Your Selections', 'DIA Order 2G to 10G – Without a Frontier Router - Please Make Your Selections', 'EPL/EVPL/ELAN Order (All Endpoints or use Note to specify per site)', 'SIP Order Configuration questions/Notes:']",[]
19561688057706__Customer_Conduit_Agreement_updated_4.28.23.pdf,image,CUSTOMER CONDUIT AGREEMENT,Telecommunications Services,"Frontier Communications Parent, Inc.",Provider,Ben Stillwagon,Customer,Conduit and cable extension services,True,False,"['Conduit Requirements', 'Cable Extensions']",[]
19561690568035_IPJ BGP Form v.22 17 State St 21st.pdf,IP Address Request Form.pdf,IP Address Request Form,IP Address Request,Crown Castle,Provider,Chardan Capital Markets LLC,Customer,IP address allocation,False,False,"['Customer or Licensee Information', 'DDoS Defense Contact Information', 'Instructions', 'Crown Castle IPv4 Address Policy', 'IP Address Space Requested', 'IPv4 Addresses Requested', 'IPv6 Addresses Requested', 'Advertising IP Blocks not assigned by Crown Castle', 'Current IP Address Allocation and Usage', 'IP Request Information', 'Description', 'Description (Routers, Firewalls, Servers, etc. Including host counts in each)', 'BGP Request Information', 'Routes to be Advertised to Crown Castle', 'Additional Remarks']",[]
