source_filename,Agreement Name,Agreement Classification,Agreement Purpose,Party1 Name,Party1 Role,Party2 Name,Party2 Role,Effective Date,Signature Date,Term,Renewal Term,Recurring Monthly Charges,Nonrecurring Charges,Services,Locations,Payment Terms,Contract Type,Clauses
"10541592407734_Encore Spectrum coax #360 L'Ermitage Place Therapy Gym Stow, OH.pdf",Spectrum Business Business Cable Order 280585,Service Order,Service Provisioning,Spectrum Business,Provider,DCI for Encore Rehab @ Arbors at Stow,Customer,Not specified.,12/6/2018,0,Not specified.,74.98,Not specified.,Business Cable 100x10M with 1 Static IP,"2910 LERMITAGE PL THERAPY GYM STOW, OH 44224-5219",Not specified.,,
"10541592407895_Encore Rehab Spectrum Coax # 360 Maplewood Dr Therapy Gym Streetsboro, OH.pdf",Spectrum Business Business Cable Order 280584,Service Agreement,Service provisioning,Spectrum Business,Provider,DCI for Encore Rehab @ Arbors at Streetsboro,Customer,12/6/2018,Not specified,0,Not specified,74.98,Not specified,Business Cable 100x10M with 1 Static IP,"1645 Maplewood Dr Therapy Gym, Streetsboro, OH 44241-5662",Not specified,,
"10541592412347_Encore Rehab Spectrum coax # 360 Crider Rd Therapy Gym office Mansfield, OH.pdf",Spectrum Business Business Cable Order 280583,Service Agreement,Service provisioning,Spectrum Business,Provider,DCI for Encore Rehab @ Arbors at Mifflin,Customer,12/6/2018,Not specified,0,Not specified,74.98,Not specified,Business Cable 100x10M with 1 Static IP,"1600 Crider Rd Therapy Gym Office, Mansfield, OH 44903-9268",Not specified,,
"10541592412511_Encore Rehab Spectrum Coax #360 S Cleveland Massillon Rd Therapy Gym 1st Flr Fairlawn, OH.pdf",Spectrum Business Business Cable Order 280582,Service Agreement,Service Provisioning,Spectrum Business,Provider,DCI for Encore Rehab @ Arbors at Fairlawn,Customer,12/6/2018,Not specified.,0,Not specified.,74.98,Not specified.,Business Cable 100x10M with 1 Static IP,"575 S CLEVELAND MASSILLON RD THERAPY GYM 1ST FLR FAIRLAWN, OH 44333-3019",Not specified.,,
"10541592412675_Encore Rehab Spectrum Coax # 442  S Green St Therapy Gym Thomaston, GA.pdf",Spectrum Business Business Cable Order 279090,Service Agreement,Service provisioning,Spectrum Business,Provider,DCI for Encore Rehab @ Providence Healthcare of Thomaston,Customer,11/26/2018,Not specified,0,Not specified,74.98,Not specified,Business Cable 200x10M with 1 Static IP,"1011 S GREEN ST THERAPY GYM THOMASTON, GA 30286-4643",Not specified,,
"10541592412926_Encore Rehab Spectrum Coax # 430 E Manslick Rd Therapy Gym Office Louisville, KY.pdf",Spectrum Business Business Cable Order 276616,Service Order,Service Provisioning,Spectrum Business,Provider,DCI for Encore @ Wesley Manor Retirement Community,Customer,11/6/2018,Not specified.,0,Not specified.,74.98,Not specified.,"Business Cable Order, 100x10M with 1 Static IP","5012 E Manslick Rd Therapy Gym Office, Louisville, KY 40219-5165",Not specified.,,
"10541592413314_Encore Rehab Spectrum Coax # 420 Park Ave Therapy Gym Adamsville, TN .pdf",Spectrum Business Business Cable Order 272263,Service Agreement,Service provisioning,Spectrum Business,Provider,DCI FOR ENCORE REHAB @ ADAMSVILLE HEALTHCARE,Customer,10/2/2018,Not specified,0,Not specified,74.98,99,"Spectrum Coax, 100x10M with 1 Static IP","409 PARK AVE THERAPY GYM, ADAMSVILLE, TN 38310-2461",Not specified,,
"10541592413639_Encore Rehab Spectrum Coax #630 Urbanna Dr Therapy Gym Freeburg, IL.pdf",T4WO-7642 DCi for Encore @ Freeburg Care Center,Service Agreement,Service provisioning,Spectrum,Provider,Encore @ Freeburg Care Center,Customer,9/13/2018,Not specified.,Not specified.,Not specified.,124.98,99,"Spectrum Coax, 300x20M with 1 Static IP","746 URBANNA DR, Therapy Gym, FREEBURG, IL 62243-19043",Not specified.,,
"10541592413915_Encore Rehab Spectrum Coax # 442 Simmons Street Dublin, GA.pdf",Spectrum Business Business Cable Order,Service Agreement,Service provisioning,Spectrum Business,Provider,DCI FOR ENCORE @ SOUTHLAND NURSING & REHAB,Customer,Not specified.,Not specified.,0,Not specified.,74.98,Not specified.,Business Cable,"606 SIMMONS ST, DUBLIN, GA 31021-3918",Not specified.,,
"10541592414091_Encore Rehab Spectrum Coax # 360 E Maple St. North Canton, OH.pdf",Spectrum Business Cable Order,Service Agreement,Service provisioning,Spectrum Business,Provider,DCI FOR ENCORE @ WINDSOR MEDICAL CENTER,Customer,Not specified.,Not specified.,0,Not specified.,74.98,Not specified.,Business Cable,"1454 E MAPLE ST PHYSICAL THERAPY ROOM NORTH CANTON, OH 44720-2634",Not specified.,,
10541594831858_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for SACO BAY,Customer,Not specified.,3/22/2016,24,Not specified.,"$2,499.90 ",$0.00 ,"['50x5 HSD', '1 Static IP']","['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",Not specified.,,
10541594832642_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for SACO BAY,Customer,Not specified.,3/22/2016,24,Not specified.,"$2,499.90 ",$0.00 ,"['50x5 HSD', '1 Static IP']","['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",Not specified.,,
10541594832727_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for SACO BAY,Customer,Not specified.,3/22/2016,24,Not specified.,"$2,499.90 ",$0.00 ,"['50x5 HSD', '1 Static IP']","['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",Not specified.,,
10541594832839_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for SACO BAY,Customer,Not specified.,3/22/2016,24,Not specified.,"$2,499.90 ",$0.00 ,"['50x5 HSD', '1 Static IP']","['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",Not specified.,,
10541594832910_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for SACO BAY,Customer,Not specified.,3/22/2016,24,Not specified.,"$2,499.90 ",$0.00 ,"['50x5 HSD', '1 Static IP']","['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",Not specified.,,
10541594833033_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for SACO BAY,Customer,Not specified.,3/22/2016,24,Not specified.,"$2,499.90 ",$0.00 ,"['50x5 HSD', '1 Static IP']","['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",Not specified.,,
10541594833126_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for SACO BAY,Customer,Not specified.,3/22/2016,24,Not specified.,"$2,499.90 ",$0.00 ,"['50x5 HSD', '1 Static IP']","['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",Not specified.,,
10541594833193_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for SACO BAY,Customer,Not specified.,3/22/2016,24,Not specified.,"$2,499.90 ",$0.00 ,"['50x5 HSD', '1 Static IP']","['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",Not specified.,,
10541594833267_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for SACO BAY,Customer,Not specified.,3/22/2016,24,Not specified.,"$2,499.90 ",$0.00 ,"['50x5 HSD', '1 Static IP']","['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",Not specified.,,
10541594910338_1474436-TWC_Agmt-_SPT_Apex_NC_OCB41243.pdf,Service Agreement and Service Order,Service Agreement,Service provisioning,Time Warner Cable,Operator,DCi for Select Physical therapy Apex OCB 41243,Customer,Not specified.,11/30/2016,12,Not specified.,$119.99 ,$0.00 ,"50x5 Mbps PROMO, 1 Static IP","13820 Sunrise Valley Drive, Herndon, VA 20171; 9772 Holly Springs Rd",Not specified.,,
"10541594915033_ Select Medical Spectrum Coax # 41152 Salisbury, NC.pdf",T4WO-329,Service Agreement,Service provisioning,Spectrum Business,Provider,Select Medical Physical Therapy,Customer,5/15/2015,6/11/2015,36,Auto-renew (no paperwork),239.98,Not specified.,Business Cable,"320 JAKE ALEXANDER BLVD W STE 106 SALISBURY, NC 28147-1442",Not specified.,,
"10541594915371_ Select Medical Spectrum Coax # 40975 Myrtle Beach, SC.pdf",T4WO-345,Service Agreement,Service Provisioning,Spectrum Business,Provider,Select Medical Physical Therapy,Customer,10/23/2015,10/23/2015,24,Auto-renew,259.98,Not specified.,Business Cable,"8170 ROURK ST, MYRTLE BEACH, SC 29572-4127",Not specified.,,
10541594915506_1460364-BHN_Agmt_Lake_Nona_OCB_41235[1].pdf,Business Solutions Order Form,Service Agreement,Service provisioning,"Bright House Networks, LLC",Provider,Distributed Computing Inc,Customer,Not specified.,8/10/2016,1,successive,150,0,"Business Phone, Business Internet, Business WiFi","9145 Narcoossee Rd Suite A 204, Orlando FL 32828",Monthly billing,,
"10541594918648_ Select Medical Spectrum Coax #40784 Auburn, ME.pdf",Time Warner Cable Business Cable Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for Saco Bay Physical Therapy,Customer,Not specified.,Not specified.,24,Not specified.,249.99,Not specified.,Business Cable,"690 MINOT AVE STE 2 AUBURN, MΕ 04210-3922",Not specified.,,
10541594920411_ Select Medical Spectrum Coax # 26824 Shelbyville KY.pdf,Time Warner Cable Business Cable Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,KORT Shelbyville OCB,Customer,Not specified.,Not specified.,36,Not specified.,249.8,Not specified.,Business Cable,"160 FRANKFORT RD, SHELBYVILLE, KY 40065-9433",Not specified.,,
"10541594920737_ Select Medical Spectrum Coax # 04048 Taylorsville, KY.pdf",Spectrum - (Time Warner Cable) Business Cable Order,Service Agreement,Service provisioning,Spectrum,Provider,DCi for Kort Taylorsville KY ocb 04074,Customer,8/29/2017,Not specified,0,Not specified,69.98,Not specified,Business Cable,"543 Taylorsville Rd Ste 101 Taylorsville, KY 40071-6766",Not specified,,
"10541594921231_ Select Medical Spectrum Coax # 26823 Louisville, KY.pdf",Time Warner Cable Business Cable Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for Select Physical Therapy,Customer,Not specified.,Not specified.,36,Not specified.,186.99,Not specified.,Business Cable,"315 E BROADWAY STE 195 LOUISVILLE, KY 40202-3700",Not specified.,,
"10541594992073_ Select Medical Spectrum Coax #26808 Shively, KY.pdf",T4WO-493 DCi for Kort Shively KY 04030,Service Agreement,Service provisioning,Kristina Jumper,Provider,Madison Frank,Customer,7/16/2020,10/11/2017,Not specified,Not specified,69.98,Not specified,twc spectrum,Kort Shively KY 04030,Not specified,,
"10541594992236_ Select Medical Spectrum Coax # 26829 Louisville, KY.pdf",Time Warner Cable Business Cable Order,Service Agreement,Service Provisioning,Time Warner Cable,Provider,DCi for Select Physical Therapy,Customer,Not specified.,Not specified.,36,Not specified.,186.99,Not specified.,Business Cable,"1227 GOSS AVE, LOUISVILLE, KY 40217-1239",Not specified.,,
"10541594992387_ Select Medical Spectrum Coax # 26805 Louisville, KY.pdf",Time Warner Cable Business Cable Order,Service Agreement,Service Provisioning,Time Warner Cable,Provider,DCi for Select Medical Physical Therapy,Customer,Not specified.,10/23/2015,24,Not specified.,249.99,Not specified.,Business Cable,"7926 PRESTON HWY STE 101 LOUISVILLE, KY 40219-3848",Not specified.,,
"10541594992531_ Select Medical Spectrum Coax # 04016 Louisville, KY.pdf",Time Warner Cable Internet T1 Order,Service Agreement,Service Provisioning,Time Warner Cable,Provider,DCi for Select Medical Physical Therapy,Customer,Not specified.,Not specified.,36,Not specified.,114.99,Not specified.,Internet T1,"4430 CRAWFORD AVE, LOUISVILLE, KY 40258-3706",Not specified.,,
"10541594993433_ Select Medical Spectrum Coax # 26809 Louisville, KY.pdf",Time Warner Cable Business Cable Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for Select Physical Therapy,Customer,Not specified.,Not specified.,36,Not specified.,186.99,Not specified.,Business Cable,"10631 DIXIE HWY LOUISVILLE, KY 40272-4349",Not specified.,,
"10541594993573_ Select Medical Spectrum Coax # 04027 Nicholasville, KY.pdf",Time Warner Cable Business Cable Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for KORT Nicholasville,Customer,8/25/2016,Not specified.,24,Not specified.,119.99,Not specified.,Business Cable,"102 WILLIAMS RD NICHOLASVILLE, KY 40356-1917",Not specified.,,
"10541594996536_ Select Medical Spectrum Coax #04077 Versailles, KY.pdf",Time Warner Cable Business Cable Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,KORT OCB,Customer,1/23/2017,Not specified.,0,Not specified.,$129.99 ,Not specified.,Business Cable,"374 KROGER WAY VERSAILLES, KY 40383-1915",Not specified.,,
"10541594997022_ Select Medical Spectrum Coax #04054 Richmond, KY.pdf",Time Warner Cable Business Cable Order for DCi for Select Physical Therapy,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for Select Physical Therapy,Customer,Not specified.,Not specified.,36,Not specified.,186.99,Not specified.,Business Cable,"5006 ATWOOD DR STE 2 RICHMOND, KY 40475-8179",Not specified.,,
"10541594998725_ Select Medical Spectrum Coax # 20583 Highland Heights, KY.pdf",Time Warner Cable Business Cable Order,Service Agreement,Service Provisioning,Time Warner Cable,Provider,DCi for Select Medical Physical Therapy,Customer,Not specified.,Not specified.,24,Not specified.,249.99,Not specified.,Business Cable,"2600 ALEXANDRIA PIKE HIGHLAND HGTS, KY 41076-1590",Not specified.,,
"10541594998919_ Select Medical Spectrum Coax # 54908 Hilliard, OH.pdf",Time Warner Cable Business Cable Order,Service Agreement,Service Provisioning,Time Warner Cable,Provider,DCi for Select Medical Physical Therapy,Customer,Not specified.,Not specified.,24,Not specified.,249.99,Not specified.,Business Cable,"3207 HILLIARD ROME RD, HILLIARD, ОН 43026-9472",Not specified.,,
"10541594999160_ Select Medical Spectrum Coax # 4496 Newark, OH.pdf",Time Warner Cable Business Cable Order for DCI for SSH Zanesville OCB 496150,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCI for SSH Zanesville OCB 496150,Customer,Not specified.,Not specified.,36,Not specified.,381.99,Not specified.,Business Cable,"2000 TAMARACK RD, NEWARK, OH 43055-1183",Not specified.,,
"10541595003533_ Select Medical Spectrum Coax # 54910 Grove City, OH.pdf",Time Warner Cable Business Cable Order for DCi for NovaCare OCB 20681,Service Agreement,Service provisioning,Time Warner Cable,Provider,NovaCare OCB 20681,Customer,11/6/2015,Not specified,24,Not specified,249.99,Not specified,Business Cable,"2185 STRINGTOWN RD, GROVE CITY, OH 43123-2989",Not specified,,
"10541595003717_ Select Medical Spectrum Coax # 4560 Columbus, OH.pdf",T4WO-524,Service Agreement,Service provisioning,Spectrum,Provider,Madison Frank,Customer,7/17/2020,6/20/2017,Not specified,Not specified,129.98,Not specified,Spectrum Services,Columbus,Not specified,,
"10541595258490_ Select Medical Spectrum Coax #54907 Columbus, OH.pdf",Time Warner Cable Business Cable Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for Select Medical Physical Therapy,Customer,Not specified,Not specified,24,Not specified,249.99,Not specified,Business Cable,"6465 E BROAD ST STE B COLUMBUS, OH 43213-1576",Not specified,,
"10541595258761_ Select Medical Spectrum Coax #54906 Columbus, OH .pdf",Time Warner Cable Business Cable Order,Service Agreement,Service Provisioning,Time Warner Cable,Provider,DCi for North East NovaCare Rehab OCD 20675,Customer,Not specified.,Not specified.,36,Not specified.,159.95,Not specified.,Business Cable,"6021 CLEVELAND AVE, COLUMBUS, OH 43231-2256",Not specified.,,
"10541595258914_ Select Medical Spectrum Coax #4587 Cleveland, OH.pdf",Time Warner Cable Business Cable Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for Gateway Cleveland Hospital,Customer,Not specified.,Not specified.,24,Not specified.,264.99,Not specified.,Business Cable,"2351 E 22ND ST # 7 CLEVELAND, OH 44115-3111",Not specified.,,
"10541595263453_ Select Medical Spectrum Coax # 20657 Brook Park, OH.pdf",Time Warner Cable Business Cable Order,Service Agreement,Service Provisioning,Time Warner Cable,Provider,DCi for Select Medical Physical Therapy,Customer,7/20/2020,Not specified.,24,Not specified.,249.99,Not specified.,Business Cable,"15900 SNOW RD STE 500 BROOK PARK, OH 44142-2860",Not specified.,,
"10541595263727_ Select Medical Spectrum Coax # 20593 Blue Ash, OH .pdf",Time Warner Cable Business Cable Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi fro NovaCare Rehab OCB 20643,Customer,Not specified.,Not specified.,24,Not specified.,119.99,Not specified.,Business Cable,"757 E 200TH ST UNIT 757 EUCLID, OH 44119-2504",Not specified.,,
"10541595264130_ Select Medical Spectrum Coax # 4586 Cleveland, OH.pdf",Time Warner Cable Business Cable Order,Service Order,Service provisioning,Time Warner Cable,Provider,DCi for SSH Cleveland - Fairhill,Customer,Not specified.,Not specified.,12,Not specified.,119.99,Not specified.,Business Cable,"11900 FAIRHILL RD CLEVELAND, OH 44120-1062",Not specified.,,
"10541595266683_ Select Medical Spectrum Coax #21084 Akron, OH.pdf",Time Warner Cable Business Cable Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for NovaCare Akron OCB 21084,Customer,7/20/2020,5/21/2015,36,Not specified.,249.97,Not specified.,Business Cable,"1653 Merriman Rd, Akron, OH 44313-5210",Not specified.,,
"10541595267121_ Select Medical Spectrum Coax # 41312 Gorham, ME.pdf",Spectrum - (Time Warner Cable) Business Cable Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCI FOR SACO BAY GORHAM,Customer,Not specified,Not specified,0,Not specified,89.98,Not specified,Business Cable,"81 MAIN ST, GORHAM, ME 04038-1303",Not specified,,
"10541595267292_ Select Medical Spectrum Coax # 20593 Blue Ash, OH.pdf",Time Warner Cable Business Cable Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for Select Medical Physical Therapy,Customer,7/20/2020,Not specified,24,Not specified,249.99,Not specified,Business Cable,"4260 GLENDALE MILFORD RD STE L03 BLUE ASH, OH 45242-3759",Not specified,,
"10541595267462_ Select Medical Spectrum Coax # 20818 Cincinnati, OH.pdf",Time Warner Cable Business Cable Order,Service Order,Service Provisioning,Time Warner Cable,Provider,DCi for NovaCare Colerain OCB,Customer,7/20/2020,Not specified,24,Not specified,189.99,Not specified,Business Cable,"9596 COLERAIN AVE, CINCINNATI, ОН 45251",Not specified,,
"10541595268937_ Select Medical Spectrum Coax # 50695 Beavercreek, OH.pdf",Time Warner Cable Business Cable Order,Service Agreement,Service provisioning,Time Warner Cable,Provider,DCi for Physio Therapy Beavercreek OCB 50695,Customer,Not specified,11/3/2016,24,Not specified,119.99,Not specified,Business Cable,"2655 COMMONS BLVD STE 120 BEAVERCREEK, OH 45431-3811",Not specified,,
